organism,chapter2_direction,dataset,Modules,module_direction,concordance
Dorea longicatena AGR2136,LME,MG,M00001,HME,discordant
Dorea longicatena AGR2136,LME,MG,M00003,HME,discordant
Dorea longicatena AGR2136,LME,MG,M00026,HME,discordant
Dorea longicatena AGR2136,LME,MG,M00048,HME,discordant
Dorea longicatena AGR2136,LME,MG,M00159,HME,discordant
Dorea longicatena AGR2136,LME,MG,M00165,HME,discordant
Fibrobacter succinogenes HM2,LME,MG,M00022,HME,discordant
Fibrobacter succinogenes HM2,LME,MG,M00115,HME,discordant
Fibrobacter succinogenes HM2,LME,MG,M00912,HME,discordant
Oribacterium sp. WCC10,LME,MG,M00001,HME,discordant
Oribacterium sp. WCC10,LME,MG,M00002,HME,discordant
Oribacterium sp. WCC10,LME,MG,M00003,HME,discordant
Oribacterium sp. WCC10,LME,MG,M00165,HME,discordant
Propionibacteriaceae bacterium P6A17,HME,MG,M00009,LME,discordant
Propionibacteriaceae bacterium P6A17,HME,MG,M00011,LME,discordant
Dorea longicatena AGR2136,LME,MT,M00001,HME,discordant
Dorea longicatena AGR2136,LME,MT,M00003,HME,discordant
Dorea longicatena AGR2136,LME,MT,M00026,HME,discordant
Dorea longicatena AGR2136,LME,MT,M00048,HME,discordant
Dorea longicatena AGR2136,LME,MT,M00159,HME,discordant
Dorea longicatena AGR2136,LME,MT,M00165,HME,discordant
Fibrobacter succinogenes HM2,LME,MT,M00022,HME,discordant
Fibrobacter succinogenes HM2,LME,MT,M00115,HME,discordant
Fibrobacter succinogenes HM2,LME,MT,M00912,HME,discordant
Lachnospiraceae bacterium JC7,LME,MT,M00009,HME,discordant
Lachnospiraceae bacterium NK3A20,LME,MT,M00003,HME,discordant
Lachnospiraceae bacterium NK3A20,LME,MT,M00019,HME,discordant
Lachnospiraceae bacterium NK3A20,LME,MT,M00048,HME,discordant
Lachnospiraceae bacterium NK3A20,LME,MT,M00061,HME,discordant
Lachnospiraceae bacterium NK3A20,LME,MT,M00173,HME,discordant
Lachnospiraceae bacterium NK3A20,LME,MT,M00565,HME,discordant
Lachnospiraceae bacterium NK3A20,LME,MT,M00570,HME,discordant
Lachnospiraceae bacterium NK3A20,LME,MT,M00631,HME,discordant
Lachnospiraceae bacterium NK4A144,LME,MT,M00001,HME,discordant
Lachnospiraceae bacterium NK4A144,LME,MT,M00003,HME,discordant
Lachnospiraceae bacterium NK4A144,LME,MT,M00165,HME,discordant
Oribacterium sp. WCC10,LME,MT,M00001,HME,discordant
Oribacterium sp. WCC10,LME,MT,M00002,HME,discordant
Oribacterium sp. WCC10,LME,MT,M00003,HME,discordant
Oribacterium sp. WCC10,LME,MT,M00165,HME,discordant
