genome,Modules,KO_number,median_comparison,median_high,median_low,IQR_high,IQR_low
Bacteroides sp. AR29,M00009,K00024,High,0.17779021,0.2060028605,0.1439770465,0.0324845545
Bacteroides sp. AR29,M00011,K00024,High,0.17779021,0.2060028605,0.1439770465,0.0324845545
Bacteroides sp. AR29,M00173,K00024,High,0.17779021,0.2060028605,0.1439770465,0.0324845545
Bacteroides sp. AR29,M00009,K00174,High,0.107055221,0.0991347145,0.00537863800000001,0.011140498
Bacteroides sp. AR29,M00011,K00174,High,0.107055221,0.0991347145,0.00537863800000001,0.011140498
Bacteroides sp. AR29,M00173,K00174,High,0.107055221,0.0991347145,0.00537863800000001,0.011140498
Bacteroides sp. AR29,M00009,K00175,High,0.0938079745,0.087225753,0.00498231325000001,0.0081262215
Bacteroides sp. AR29,M00011,K00175,High,0.0938079745,0.087225753,0.00498231325000001,0.0081262215
Bacteroides sp. AR29,M00173,K00175,High,0.0938079745,0.087225753,0.00498231325000001,0.0081262215
Bacteroides sp. AR29,M00009,K00177,High,0.087942635,0.0929052765,0.034037198,0.015351397
Bacteroides sp. AR29,M00011,K00177,High,0.087942635,0.0929052765,0.034037198,0.015351397
Bacteroides sp. AR29,M00173,K00177,High,0.087942635,0.0929052765,0.034037198,0.015351397
Bacteroides sp. AR29,M00009,K00239,High,0.1102422965,0.098738149,0.00842239724999999,0.015516635
Bacteroides sp. AR29,M00011,K00239,High,0.1102422965,0.098738149,0.00842239724999999,0.015516635
Bacteroides sp. AR29,M00173,K00239,High,0.1102422965,0.098738149,0.00842239724999999,0.015516635
Bacteroides sp. AR29,M00009,K00240,High,0.1156258035,0.093414765,0.01702425525,0.0193240675
Bacteroides sp. AR29,M00011,K00240,High,0.1156258035,0.093414765,0.01702425525,0.0193240675
Bacteroides sp. AR29,M00173,K00240,High,0.1156258035,0.093414765,0.01702425525,0.0193240675
Bacteroides sp. AR29,M00009,K00241,High,0.144437615,0.157568308,0.04126789,0.022805939
Bacteroides sp. AR29,M00011,K00241,High,0.144437615,0.157568308,0.04126789,0.022805939
Bacteroides sp. AR29,M00173,K00241,High,0.144437615,0.157568308,0.04126789,0.022805939
Bacteroides sp. AR29,M00009,K00245,High,0.1156258035,0.093414765,0.01702425525,0.0193240675
Bacteroides sp. AR29,M00011,K00245,High,0.1156258035,0.093414765,0.01702425525,0.0193240675
Bacteroides sp. AR29,M00173,K01006,High,0.1026841685,0.10455562,0.03009497525,0.01244478475
Bacteroides sp. AR29,M00173,K01007,High,0.142857143,0.119916181,0.0304749845,0.0207445295
Bacteroides sp. AR29,M00009,K01676,High,0.113580696,0.104193781,0.016091817,0.020510282
Bacteroides sp. AR29,M00011,K01676,High,0.113580696,0.104193781,0.016091817,0.020510282
Bacteroides sp. AR29,M00173,K01676,High,0.113580696,0.104193781,0.016091817,0.020510282
Bacteroides sp. AR29,M00009,K01677,High,0.113580696,0.104193781,0.016091817,0.020510282
Bacteroides sp. AR29,M00011,K01677,High,0.113580696,0.104193781,0.016091817,0.020510282
Bacteroides sp. AR29,M00173,K01677,High,0.113580696,0.104193781,0.016091817,0.020510282
Bacteroides sp. AR29,M00009,K01678,High,0.113580696,0.104193781,0.016091817,0.020510282
Bacteroides sp. AR29,M00011,K01678,High,0.113580696,0.104193781,0.016091817,0.020510282
Bacteroides sp. AR29,M00173,K01678,High,0.113580696,0.104193781,0.016091817,0.020510282
Bacteroides sp. AR29,M00173,K01960,High,0.117793588,0.1160157065,0.01434681325,0.01817077175
Clostridium aminophilum F,M00048,K00602,High,0.183409953,0.163247413,0.024613035,0.03801145875
Clostridium aminophilum F,M00048,K01923,High,0.176179158,0.1482570765,0.08252341225,0.02598397025
Clostridium aminophilum F,M00048,K01933,High,0.142845585,0.09825837,0.00945652950000003,0.01903526175
Clostridium aminophilum F,M00048,K01945,High,0.1697496645,0.149568807,0.02170517225,0.02071864175
Clostridium aminophilum F,M00048,K01952,High,0.1552893345,0.160732607,0.034218028,0.02667560675
Dorea longicatena AGR2136,M00026,K00013,High,0.187779085,0.071560406,0.0965551,0.038022968
Dorea longicatena AGR2136,M00001,K00134,High,0.092114548,0.017869511,0.0246819755,0.01081819
Dorea longicatena AGR2136,M00003,K00134,High,0.092114548,0.017869511,0.0246819755,0.01081819
Dorea longicatena AGR2136,M00165,K00134,High,0.092114548,0.017869511,0.0246819755,0.01081819
Dorea longicatena AGR2136,M00048,K00602,High,0.047619048,0.021563342,0.0181092825,0.0061711065
Dorea longicatena AGR2136,M00165,K00615,High,0.052355568,0.024097905,0.029106949,0.00146537675
Dorea longicatena AGR2136,M00026,K00765,High,0.12414966,0.011045141,0.026603499,0.081103899
Dorea longicatena AGR2136,M00026,K00817,High,0.2062681025,0.05759954,0.06618227925,0.0471316575
Dorea longicatena AGR2136,M00001,K00927,High,0.05082999,0.036124805,0.04291303775,0.002037092
Dorea longicatena AGR2136,M00003,K00927,High,0.05082999,0.036124805,0.04291303775,0.002037092
Dorea longicatena AGR2136,M00165,K00927,High,0.05082999,0.036124805,0.04291303775,0.002037092
Dorea longicatena AGR2136,M00026,K01089,High,0.2062681025,0.277335264,0.06618227925,0.1584772935
Dorea longicatena AGR2136,M00003,K01610,High,0.054897086,0.044730959,0.023345458,0.00128782149999999
Dorea longicatena AGR2136,M00026,K01693,High,0.2062681025,0.277335264,0.06618227925,0.1584772935
Dorea longicatena AGR2136,M00048,K01756,High,0.058097762,0.0364377135,0.016314073,0.02377458025
Dorea longicatena AGR2136,M00001,K01803,High,0.05082999,0.036124805,0.04291303775,0.002037092
Dorea longicatena AGR2136,M00003,K01803,High,0.05082999,0.036124805,0.04291303775,0.002037092
Dorea longicatena AGR2136,M00165,K01803,High,0.05082999,0.036124805,0.04291303775,0.002037092
Dorea longicatena AGR2136,M00001,K01810,High,0.075431034,0.07122093,0.012618595,0.00457338150000002
Dorea longicatena AGR2136,M00048,K01933,High,0.07000607,0.0472977795,0.0203146765,0.0266854995
Dorea longicatena AGR2136,M00048,K01945,High,0.0301061365,0.030855308,0.00306819100000001,0.00584266525
Dorea longicatena AGR2136,M00048,K01952,High,0.0737640255,0.038885978,0.032013647,0.00660720550000001
Dorea longicatena AGR2136,M00159,K02117,High,0.023543205,0.011533652,0.031460965,0.00266326775
Dorea longicatena AGR2136,M00159,K02118,High,0.049105443,0.027117931,0.0192705625,0
Dorea longicatena AGR2136,M00159,K02120,High,0.077441228,0.022483685,0.0631333715,0.006760435
Dorea longicatena AGR2136,M00159,K02124,High,0.061193656,0.057149661,0.02415236825,0.01048661825
Dorea longicatena AGR2136,M00026,K02502,High,0.12414966,0.011045141,0.026603499,0.081103899
Fibrobacter succinogenes HM2,M00022,K00014,High,0.094100004,0.0776597525,0.03447895425,0.03570779725
Fibrobacter succinogenes HM2,M00115,K00278,High,0.0367574125,0.027944112,0.00697654525000001,0.0124484365
Fibrobacter succinogenes HM2,M00912,K00452,High,0.080910024,0.034018987,0.048451285,0.015098043
Fibrobacter succinogenes HM2,M00115,K00767,High,0.0367574125,0.027944112,0.00697654525000001,0.0124484365
Fibrobacter succinogenes HM2,M00912,K00767,High,0.0367574125,0.027944112,0.00697654525000001,0.0124484365
Fibrobacter succinogenes HM2,M00022,K00800,High,0.071781557,0.064957676,0.01429091875,0.00910027050000001
Fibrobacter succinogenes HM2,M00022,K00891,High,0.0466143485,0.01717225,0.0456019515,0.019388687
