genome	KO_number	median_high	median_low	IQR_high	IQR_low	direction
Actinomyces denticolens PA	K00239	0.4780335375	0.406420624	0.05872716375	0.0583224995	HME
Bacteroides vulgatus NLAE-zl-G202	K02429	0.062559304	0.097859472	0.01920423975	0.00747647150000001	LME
Bordetella trematum HR18	K02358	0.227397223	0.212264238	0.00599944599999999	0.0157124635	HME
Butyrivibrio proteoclasticus FD2007	K01154	0.0779149635	0.122057336	0.01819909875	0.04236561675	LME
Butyrivibrio sp. AC2005	K02470	0.0664725365	0.0845881855	0.00689036699999999	0.00817396299999998	LME
Butyrivibrio sp. INlla21	K00432	0.141530703	0.0906354255	0.027289686	0.03160619975	HME
Butyrivibrio sp. INlla21	K02203	0.14688048	0.080666795	0.05091808925	0.00588081725	HME
Clostridium aminophilum F	K01006	0.1072251195	0.129368861	0.00913349725	0.00604493525	LME
Clostridium aminophilum F	K01870	0.1186848115	0.096363219	0.00696432024999999	0.00694711025	HME
Clostridium glycolicum KPPR-9	K02358	0.230049871	0.281487989	0.02819192325	0.02447795275	LME
Clostridium glycolicum KPPR-9	K02470	0.2086128225	0.279238453	0.06711928675	0.054280353	LME
Clostridium intestinale DSM 6191	K02355	0.30023028	0.241621432	0.0388232125	0.038132697	HME
Clostridium paraputrificum AGR2156	K00088	0.113704254	0.146687211	0.01515701075	0.02258479825	LME
Clostridium paraputrificum AGR2156	K02358	0.206331848	0.1624225085	0.012602658	0.038037847	HME
Coriobacteriaceae bacterium KH1P3	K02622	0.282272226	0.1890315085	0.02390150225	0.00580737300000001	HME
Dorea longicatena AGR2136	K01883	0.055653216	0.0206037585	0.017594097	0.01436196425	HME
Dorea longicatena AGR2136	K00817	0.2062681025	0.05759954	0.06618227925	0.0471316575	HME
Dorea longicatena AGR2136	K00013	0.187779085	0.071560406	0.0965551	0.038022968	HME
Dorea longicatena AGR2136	K01870	0.071318917	0.0205045135	0.047983726	0.0103077945	HME
Dorea longicatena AGR2136	K01874	0.038205152	0.023534446	0.0135736835	0.00309650325	HME
Dorea longicatena AGR2136	K01880	0.0418026755	0.016111672	0.01572642275	0.00693265325	HME
Dorea longicatena AGR2136	K02622	0.0599562195	0.01986718	0.03347727125	0.02283579725	HME
Enterococcus sp. kppr-6	K02358	0.169695033	0.21329868	0.01921090375	0.01100707275	LME
