genome,KO_number,Modules,median_comparison,TAXAID,pN_pS,order,family,genus,species,SRR,SRR_base,condition
Bacteroides sp. AR29,K00024,M00009,High,93975,0.241562785,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873596,SRR873596,Low
Bacteroides sp. AR29,K00024,M00009,High,93975,0.152861953,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873598,SRR873598,Low
Bacteroides sp. AR29,K00024,M00009,High,93975,0.198426573,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873599,SRR873599,Low
Bacteroides sp. AR29,K00024,M00009,High,93975,0.185843425,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873600,SRR873600,Low
Bacteroides sp. AR29,K00024,M00009,High,93975,0.213579148,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873601,SRR873601,Low
Bacteroides sp. AR29,K00024,M00009,High,93975,0.224105306,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873602,SRR873602,Low
Bacteroides sp. AR29,K00024,M00009,High,93975,0.291025641,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873604,SRR873604,High
Bacteroides sp. AR29,K00024,M00009,High,93975,0.128709129,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873605,SRR873605,High
Bacteroides sp. AR29,K00024,M00009,High,93975,0.17779021,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873606,SRR873606,High
Bacteroides sp. AR29,K00024,M00009,High,93975,0.257009657,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873607,SRR873607,High
Bacteroides sp. AR29,K00024,M00009,High,93975,0.110428702,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873609,SRR873609,High
Bacteroides sp. AR29,K00024,M00009,High,93975,0.131372076,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873610,SRR873610,High
Bacteroides sp. AR29,K00024,M00009,High,93975,0.317482517,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR1206671,SRR1206671,High
Bacteroides sp. AR29,K00024,M00011,High,93975,0.241562785,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873596,SRR873596,Low
Bacteroides sp. AR29,K00024,M00011,High,93975,0.152861953,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873598,SRR873598,Low
Bacteroides sp. AR29,K00024,M00011,High,93975,0.198426573,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873599,SRR873599,Low
Bacteroides sp. AR29,K00024,M00011,High,93975,0.185843425,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873600,SRR873600,Low
Bacteroides sp. AR29,K00024,M00011,High,93975,0.213579148,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873601,SRR873601,Low
Bacteroides sp. AR29,K00024,M00011,High,93975,0.224105306,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873602,SRR873602,Low
Bacteroides sp. AR29,K00024,M00011,High,93975,0.291025641,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873604,SRR873604,High
Bacteroides sp. AR29,K00024,M00011,High,93975,0.128709129,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873605,SRR873605,High
Bacteroides sp. AR29,K00024,M00011,High,93975,0.17779021,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873606,SRR873606,High
Bacteroides sp. AR29,K00024,M00011,High,93975,0.257009657,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873607,SRR873607,High
Bacteroides sp. AR29,K00024,M00011,High,93975,0.110428702,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873609,SRR873609,High
Bacteroides sp. AR29,K00024,M00011,High,93975,0.131372076,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873610,SRR873610,High
Bacteroides sp. AR29,K00024,M00011,High,93975,0.317482517,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR1206671,SRR1206671,High
Bacteroides sp. AR29,K00024,M00173,High,93975,0.241562785,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873596,SRR873596,Low
Bacteroides sp. AR29,K00024,M00173,High,93975,0.152861953,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873598,SRR873598,Low
Bacteroides sp. AR29,K00024,M00173,High,93975,0.198426573,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873599,SRR873599,Low
Bacteroides sp. AR29,K00024,M00173,High,93975,0.185843425,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873600,SRR873600,Low
Bacteroides sp. AR29,K00024,M00173,High,93975,0.213579148,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873601,SRR873601,Low
Bacteroides sp. AR29,K00024,M00173,High,93975,0.224105306,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873602,SRR873602,Low
Bacteroides sp. AR29,K00024,M00173,High,93975,0.291025641,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873604,SRR873604,High
Bacteroides sp. AR29,K00024,M00173,High,93975,0.128709129,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873605,SRR873605,High
Bacteroides sp. AR29,K00024,M00173,High,93975,0.17779021,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873606,SRR873606,High
Bacteroides sp. AR29,K00024,M00173,High,93975,0.257009657,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873607,SRR873607,High
Bacteroides sp. AR29,K00024,M00173,High,93975,0.110428702,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873609,SRR873609,High
Bacteroides sp. AR29,K00024,M00173,High,93975,0.131372076,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873610,SRR873610,High
Bacteroides sp. AR29,K00024,M00173,High,93975,0.317482517,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR1206671,SRR1206671,High
Bacteroides sp. AR29,K00174,M00009,High,93975,0.090913787,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873595,SRR873595,Low
Bacteroides sp. AR29,K00174,M00009,High,93975,0.098328741,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873596,SRR873596,Low
Bacteroides sp. AR29,K00174,M00009,High,93975,0.100874713,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873597,SRR873597,Low
Bacteroides sp. AR29,K00174,M00009,High,93975,0.105077826,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873598,SRR873598,Low
Bacteroides sp. AR29,K00174,M00009,High,93975,0.099940688,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873599,SRR873599,Low
Bacteroides sp. AR29,K00174,M00009,High,93975,0.109579638,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873600,SRR873600,Low
Bacteroides sp. AR29,K00174,M00009,High,93975,0.087752799,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873601,SRR873601,Low
Bacteroides sp. AR29,K00174,M00009,High,93975,0.090398612,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873602,SRR873602,Low
Bacteroides sp. AR29,K00174,M00009,High,93975,0.109657144,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873604,SRR873604,High
Bacteroides sp. AR29,K00174,M00009,High,93975,0.108446278,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873605,SRR873605,High
Bacteroides sp. AR29,K00174,M00009,High,93975,0.105664164,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873606,SRR873606,High
Bacteroides sp. AR29,K00174,M00009,High,93975,0.08508464,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873607,SRR873607,High
Bacteroides sp. AR29,K00174,M00009,High,93975,0.103478411,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873608,SRR873608,High
Bacteroides sp. AR29,K00174,M00009,High,93975,0.118391277,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873609,SRR873609,High
Bacteroides sp. AR29,K00174,M00009,High,93975,0.110834697,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873610,SRR873610,High
Bacteroides sp. AR29,K00174,M00009,High,93975,0.104937722,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR1206671,SRR1206671,High
Bacteroides sp. AR29,K00174,M00011,High,93975,0.090913787,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873595,SRR873595,Low
Bacteroides sp. AR29,K00174,M00011,High,93975,0.098328741,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873596,SRR873596,Low
Bacteroides sp. AR29,K00174,M00011,High,93975,0.100874713,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873597,SRR873597,Low
Bacteroides sp. AR29,K00174,M00011,High,93975,0.105077826,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873598,SRR873598,Low
Bacteroides sp. AR29,K00174,M00011,High,93975,0.099940688,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. AR29,SRR873599,SRR873599,Low
